district_code,district_name,total_schools,emails_collected,remaining_to_scrape,coverage_pct,status,district_file
890,Blackpool,44,1,43,2.3,pending,districts/890_blackpool.csv
871,Slough,51,8,43,15.7,pending,districts/871_slough.csv
393,South Tyneside,62,19,43,30.6,pending,districts/393_south-tyneside.csv
841,Darlington,43,1,42,2.3,pending,districts/841_darlington.csv
204,Hackney,77,35,42,45.5,pending,districts/204_hackney.csv
880,Torbay,43,1,42,2.3,pending,districts/880_torbay.csv
205,Hammersmith and Fulham,58,18,40,31.0,pending,districts/205_hammersmith-and-fulham.csv
213,Westminster,56,17,39,30.4,pending,districts/213_westminster.csv
805,Hartlepool,39,4,35,10.3,pending,districts/805_hartlepool.csv
867,Bracknell Forest,37,5,32,13.5,pending,districts/867_bracknell-forest.csv
315,Merton,56,26,30,46.4,pending,districts/315_merton.csv
207,Kensington and Chelsea,40,12,28,30.0,pending,districts/207_kensington-and-chelsea.csv
314,Kingston upon Thames,52,24,28,46.2,pending,districts/314_kingston-upon-thames.csv
202,Camden,57,36,21,63.2,pending,districts/202_camden.csv
857,Rutland,21,1,20,4.8,pending,districts/857_rutland.csv
201,City of London,1,0,1,0.0,pending,districts/201_city-of-london.csv
420,Isles Of Scilly,1,0,1,0.0,pending,districts/420_isles-of-scilly.csv
