"university","website","region","careers_page_url","employability_page_url","procurement_page_url","supplier_portal_url","tender_portal_url","status","last_checked_utc"
"University of the Highlands and Islands","https://www.uhi.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Huddersfield","https://www.hud.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Hull","https://www.hull.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Imperial College London","https://www.imperial.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Keele University","https://www.keele.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Kent","https://www.kent.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"King's College London","https://www.kcl.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Kingston University","https://www.kingston.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Lancashire","https://www.uclan.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Lancaster University","https://www.lancaster.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Law","https://www.law.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Leeds","https://www.leeds.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Arts University","https://www.leeds-art.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Beckett University","https://www.leedsbeckett.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Leeds Trinity University","https://www.leedstrinity.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Leicester","https://le.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Lincoln","https://www.lincoln.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Liverpool","https://www.liverpool.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"Liverpool John Moores University","https://www.ljmu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"London Business School","https://www.london.edu/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"London Metropolitan University","https://www.londonmet.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"London School of Economics","https://www.lse.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"London School of Hygiene and Tropical Medicine","https://www.lshtm.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"London South Bank University","https://www.lsbu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Loughborough University","https://www.lboro.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Manchester","https://www.manchester.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Manchester Metropolitan University","https://www.mmu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Middlesex University","https://www.mdx.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Newcastle University","https://www.ncl.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Northampton","https://www.northampton.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Northumbria University","https://www.northumbria.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Norwich University of the Arts","https://www.nua.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Nottingham","https://www.nottingham.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Nottingham Trent University","https://www.ntu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"The Open University","http://www.open.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Oxford","https://www.ox.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Oxford Brookes University","https://www.brookes.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"Plymouth Marjon University","https://www.marjon.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Portsmouth","https://www.port.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Queen Margaret University","https://www.qmu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Queen Mary University of London","https://www.qmul.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Queen's University Belfast","https://www.qub.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Reading","https://www.reading.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Regent's University London","https://www.regents.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Robert Gordon University","https://www.rgu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Roehampton","https://www.roehampton.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal Agricultural University","https://www.rau.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal Central School of Speech and Drama","https://www.cssd.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal College of Art","https://www.rca.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal College of Music","https://www.rcm.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal Holloway, University of London","https://www.royalholloway.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal Northern College of Music","https://www.rncm.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Royal Veterinary College","https://www.rvc.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Salford","https://www.salford.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Sheffield","https://www.sheffield.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Sheffield Hallam University","https://www.shu.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Southampton","https://www.southampton.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Southampton Solent University","https://www.solent.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of St Andrews","https://www.st-andrews.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"St Mary's University, Twickenham","https://www.stmarys.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Staffordshire University","https://www.staffs.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Stirling","https://www.stir.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Strathclyde","https://www.strath.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Suffolk","https://www.uos.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Sunderland","https://www.sunderland.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Surrey","https://www.surrey.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Sussex","https://www.sussex.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Swansea University","https://www.swansea.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Teesside University","https://www.tees.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of the West of England","https://www.uwe.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of the West of Scotland","https://www.uws.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Wales","https://www.wales.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Wales Trinity Saint David","https://www.uwtsd.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Warwick","https://warwick.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Westminster","https://www.westminster.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Wolverhampton","https://www.wlv.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Worcester","https://www.worcester.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Wrexham Glynd?r University","https://www.wgu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of York","https://www.york.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"York St John University","https://www.yorksj.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
